STATE,ZIPCODE,AGI2016,NoReturns,AvgAGI2016
NV,89145,1672335,12150,137641.0
NV,89146,448895,9050,49602.0
NV,89147,1323449,26570,49810.0
NV,89148,1731963,25150,68865.0
NV,89149,1441857,17960,80282.0
NV,89156,438270,11940,36706.0
NV,89161,18274,150,121827.0
NV,89166,647481,9710,66682.0
NV,89169,476517,9600,49637.0
NV,89178,1125436,17210,65394.0
NV,89179,332394,4860,68394.0
NV,89183,939768,17580,53457.0
NV,89191,16769,620,27047.0
NV,89301,123748,2250,54999.0
NV,89310,12406,220,56391.0
NV,89311,4328,110,39345.0
NV,89316,33398,490,68159.0
NV,89317,9634,160,60212.0
NV,89318,21932,430,51005.0
NV,89319,7353,150,49020.0
NV,89402,99429,350,284083.0
NV,89403,406611,7460,54505.0
NV,89406,516752,10100,51164.0
NV,89408,460112,9150,50285.0
NV,89410,366214,5470,66950.0
NV,89411,124220,700,177457.0
NV,89412,4466,100,44660.0
NV,89413,87160,180,484222.0
NV,89414,6162,120,51350.0
NV,89415,73530,1530,48059.0
NV,89418,5234,130,40262.0
NV,89419,76527,1430,53515.0
NV,89421,6579,170,38700.0
NV,89423,464768,6010,77332.0
NV,89424,5528,200,27640.0
NV,89425,9061,190,47689.0
NV,89426,4658,90,51756.0
NV,89427,11120,320,34750.0
NV,89428,4660,100,46600.0
NV,89429,113137,2860,39558.0
NV,89430,16141,240,67254.0
NV,89431,682702,17590,38812.0
NV,89433,323395,9120,35460.0
NV,89434,686237,12970,52910.0
NV,89436,1492440,20120,74177.0
NV,89439,79491,830,95772.0
NV,89440,33177,580,57202.0
NV,89441,476796,5930,80404.0
NV,89442,19018,530,35883.0
NV,89444,68396,1230,55607.0
NV,89445,391161,6230,62787.0
NV,89446,71707,1050,68292.0
NV,89447,180058,4310,41777.0
NV,89448,429645,1900,226129.0
NV,89449,198988,1790,111166.0
NV,89450,703675,2690,261589.0
NV,89451,1084916,2540,427132.0
NV,89460,422525,6120,69040.0
NV,89501,184802,2070,89276.0
NV,89502,861651,21330,40396.0
NV,89503,605569,12850,47126.0
NV,89506,861567,18760,45926.0
NV,89508,329903,5680,58082.0
NV,89509,1583228,17760,89146.0
NV,89510,126880,1620,78321.0
NV,89511,2217255,14330,154728.0
NV,89512,347738,10840,32079.0
NV,89519,873712,4750,183939.0
NV,89521,1435410,15580,92132.0
NV,89523,1244539,16540,75244.0
NV,89701,617435,11780,52414.0
NV,89703,446172,4880,91429.0
NV,89704,219615,2070,106094.0
NV,89705,139603,2470,56519.0
NV,89706,407709,9190,44364.0
NV,89801,731793,10680,68520.0
NV,89815,516991,6310,81932.0
NV,89820,153548,2190,70113.0
NV,89821,14267,220,64850.0
NV,89822,64864,940,69004.0
NV,89825,14163,410,34544.0
NV,89828,22546,230,98026.0
NV,89832,15500,430,36047.0
NV,89835,41970,770,54506.0
NV,89883,79100,1930,40984.0
